,id,Name,Pos,Ht,Wt,Team
74,brownst02,Sterling Brown,G,195.58,99.34,MIL
75,browntr01,Troy Brown,G-F,198.12,97.52,WAS
76,brunsja01,Jalen Brunson,G,185.42,86.18,DAL
77,bryanth01,Thomas Bryant,C,208.28,112.49,WAS
78,bullore01,Reggie Bullock,G-F,198.12,92.99,NYK
79,burketr01,Trey Burke,G,182.88,83.91,PHI/DAL
80,burksal01,Alec Burks,G,198.12,97.07,PHI/GSW
81,burtode02,Deonte Burton,G,193.04,108.86,OKC
82,butleji01,Jimmy Butler,F-G,200.66,104.33,MIA
83,cabocbr01,Bruno Caboclo,F-C,205.74,98.88,MEM/HOU
84,cacokde01,Devontae Cacok,F,200.66,108.86,LAL
85,caldwke01,Kentavious Caldwell-Pope,G,195.58,92.53,LAL
86,cancavl01,Vlatko Čančar,F,203.2,107.05,DEN
87,capelca01,Clint Capela,C,208.28,108.86,HOU
88,carrode01,DeMarre Carroll,F,198.12,97.52,SAS/HOU
89,carteje01,Jevon Carter,G,185.42,90.72,PHO
90,cartemi01,Michael Carter-Williams,G,195.58,86.18,ORL
91,cartevi01,Vince Carter,G-F,198.12,99.79,ATL
92,cartewe01,Wendell Carter,C,208.28,122.47,CHI
93,carusal01,Alex Caruso,G,193.04,84.37,LAL
94,caulewi01,Willie Cauley-Stein,F-C,213.36,108.86,DAL/GSW
95,chandty01,Tyson Chandler,C,213.36,106.59,HOU
96,chandwi01,Wilson Chandler,F,203.2,106.59,BRK
97,chealjo01,Joe Chealey,G,190.5,86.18,CHO
98,cheatzy01,Zylan Cheatham,F,195.58,99.79,NOP
99,chiozch01,Chris Chiozza,G,180.34,79.38,BRK/WAS
100,chrisma01,Marquese Chriss,F,205.74,108.86,GSW
101,clarkbr01,Brandon Clarke,F,203.2,97.52,MEM
102,clarkga01,Gary Clark,F,198.12,102.06,ORL/HOU
103,clarkjo01,Jordan Clarkson,G,193.04,88.0,CLE/UTA
104,claxtni01,Nicolas Claxton,F,210.82,97.52,BRK
105,clemoch01,Chris Clemons,G,175.26,81.65,HOU
106,clevean01,Antonius Cleveland,G,195.58,88.45,DAL
107,coffeam01,Amir Coffey,G,200.66,95.25,LAC
108,collijo01,John Collins,F,205.74,106.59,ATL
109,colliza01,Zach Collins,C-F,210.82,113.4,POR
110,conlemi01,Mike Conley,G,185.42,79.38,UTA
111,connapa01,Pat Connaughton,G,195.58,94.8,MIL
112,cookqu01,Quinn Cook,G,185.42,81.65,LAL
113,cookty01,Tyler Cook,F,203.2,115.67,CLE/DEN
114,covinro01,Robert Covington,F-C,200.66,94.8,MIN/HOU
115,crabbal01,Allen Crabbe,G-F,195.58,96.16,MIN/ATL
116,craigto01,Torrey Craig,G-F,200.66,100.24,DEN
117,crawfja01,Jamal Crawford,G,195.58,83.91,BRK
118,crowdja01,Jae Crowder,F,198.12,106.59,MEM/MIA
119,culveja01,Jarrett Culver,G,198.12,88.45,MIN
120,curryse01,Seth Curry,G,187.96,83.91,DAL
121,curryst01,Stephen Curry,G,187.96,83.91,GSW
122,danietr01,Troy Daniels,G,193.04,90.72,LAL/DEN
123,davisan02,Anthony Davis,F-C,208.28,114.76,LAL
